beta,test_mae_all,test_mae_high,test_mae_low,test_mae_med,test_mse_all,test_mse_high,test_mse_low,test_mse_med,train_mse_all,val_mse_all
1.0,0.6873054642085152,1.1546319723129272,1.124661564826965,1.0723886489868164,0.7609694691341737,2.0941016674041752,2.0115537643432617,1.8390713930130005,0.7289167340676751,0.762182187802065
0.9,0.6880674066047433,1.0915851593017578,1.1092787981033323,1.0574944019317627,0.7726668492864674,1.8566597700119016,1.9112879037857056,1.7272422313690186,0.7260759348850558,0.7742033481338659
0.8,0.6908579593001337,1.0389658212661743,1.044529914855957,1.0623818635940552,0.7674995647434536,1.589347243309021,1.7033644914627075,1.7162243127822876,0.7212320497214362,0.7691101730904703
0.7,0.6862130837242394,1.0483614206314087,1.0510958433151243,1.0439109802246094,0.7587366482812116,1.6781609058380127,1.7234318256378174,1.6945340633392334,0.6764800449583119,0.7579757928900076
0.6,0.7016433447311999,1.2494583129882812,1.1506932973861694,1.194793462753296,0.7825735795930274,2.342135429382324,2.0463721752166752,2.1682281494140625,0.6580394906936146,0.7835694570194695
0.5,0.7086843351972615,1.2693369388580322,1.1098318099975586,1.1785333156585691,0.80693662279615,2.269310712814331,1.8650840520858765,2.021445751190185,0.6291918678872173,0.8056862785678058
0.4,0.721202658951949,1.1516737937927246,1.086710810661316,1.1124242544174194,0.8419975813734341,1.9553700685501096,1.8176075220108032,1.8792043924331665,0.5967946833772589,0.8456086910507778
0.3,0.768038047466274,1.2294673919677734,1.218335747718811,1.2564380168914795,0.9521649255465922,2.490586280822754,2.3129940032958984,2.488670825958252,0.5003120486131432,0.9582863692053304
0.2,0.8351016904205711,1.1167758703231812,1.1322174072265625,1.075337529182434,1.1377271314018127,1.950087666511536,2.013244390487671,1.8349279165267944,0.3132623306468654,1.1391427110844965
0.1,0.8853652628029196,1.13457989692688,1.1626667976379397,1.1446590423583984,1.2724360980773708,2.0135109424591064,2.122655868530273,2.034658432006836,0.11324238954422318,1.2811265138322758
1.0,0.6879581943248447,0.6724958419799805,0.7836163640022278,0.7072358131408691,0.7611725892427474,0.7311074733734131,0.9617725610733032,0.7946367263793945,0.7290227857692556,0.762240452911306
0.9,0.686301027526984,0.6727172136306763,0.7668209671974182,0.7061226963996887,0.7652858280532048,0.7351839542388916,0.9474733471870422,0.8018754124641418,0.7264070138983326,0.7672930642860688
0.8,0.6942829116334229,0.6780495047569275,0.7896430492401123,0.7174912691116333,0.7692871547404002,0.7388198971748352,0.9657448530197144,0.810783326625824,0.7209306565418057,0.7737223850160362
0.7,0.6853838677999533,0.666149914264679,0.7913602590560913,0.7103648781776428,0.7586509473533747,0.7221996784210205,0.9869056344032288,0.8048034906387329,0.6776852203288131,0.7596326643002316
0.6,0.6903651486429513,0.6735744476318359,0.8015407919883728,0.7067794799804688,0.7739232251139309,0.7421402931213379,1.021934986114502,0.809575080871582,0.6564906364467439,0.7739839818604501
0.5,0.7032831320686393,0.6848828792572021,0.8092864751815796,0.7183462381362915,0.8018908375697485,0.7688989043235779,1.0439717769622803,0.8262693285942078,0.6277574147737145,0.8080878454832541
0.4,0.7241388713087644,0.7114974856376648,0.823521614074707,0.7503091096878052,0.8478318379026306,0.8319937586784363,1.0568077564239502,0.8819779753684998,0.5906660950975622,0.8469729834247853
0.3,0.7637095312550676,0.7534275054931641,0.8448801040649414,0.7813647389411926,0.9479104435297582,0.94038325548172,1.095805048942566,0.991208016872406,0.5138224364135091,0.9457830108614863
0.2,0.8318803800055037,0.8529931306838989,0.8529366850852966,0.8016805052757263,1.129130964311997,1.203904628753662,1.1581625938415527,1.0411497354507446,0.30674146160519683,1.1336406479609797
0.1,0.8964072099866234,0.9383112788200378,0.880024254322052,0.8446904420852661,1.301255042787149,1.43345308303833,1.2290692329406738,1.160628080368042,0.11454867937721451,1.3073824376521315
